,TeamName,points,TotalWins,TotalDraws,TotalLosses,season,GoalsScored,GoalsConceded,GoalDifference,YellowCard,RedCard,totalFouls
0,Bayern Munich,88,28,4,2,1516,80,17,63,44,1,380
1,Bayern Munich,84,27,3,4,1718,92,28,64,42,0,348
2,Bayern Munich,82,25,7,2,1617,89,22,67,47,0,360
3,Bayern Munich,79,25,4,5,1415,80,18,62,37,2,414
4,Dortmund,78,24,6,4,1516,82,34,48,39,0,391
5,Bayern Munich,78,24,6,4,1819,88,32,56,44,2,278
6,Dortmund,76,23,7,4,1819,81,44,37,40,3,279
7,Wolfsburg,69,20,9,5,1415,72,38,34,44,1,454
8,RB Leipzig,67,20,7,7,1617,66,39,27,66,2,523
9,RB Leipzig,66,19,9,6,1819,63,29,34,61,1,442
10,M'gladbach,66,19,9,6,1415,53,26,27,54,2,416
11,Dortmund,64,18,10,6,1617,72,40,32,55,2,413
12,Schalke 04,63,18,9,7,1718,53,37,16,62,2,532
13,Hoffenheim,62,16,14,4,1617,64,37,27,63,1,514
14,Leverkusen,61,17,10,7,1415,62,37,25,76,4,609
15,Leverkusen,60,18,6,10,1516,56,40,16,65,4,525
16,Leverkusen,58,18,4,12,1819,69,52,17,50,1,349
17,Dortmund,55,15,10,9,1718,64,47,17,41,3,392
18,Hoffenheim,55,15,10,9,1718,66,48,18,68,0,487
19,Wolfsburg,55,16,7,11,1819,62,50,12,62,0,340
20,M'gladbach,55,16,7,11,1819,55,42,13,43,0,310
21,M'gladbach,55,17,4,13,1516,67,50,17,45,3,461
22,Leverkusen,55,15,10,9,1718,58,44,14,58,4,438
23,Ein Frankfurt,54,15,9,10,1819,60,48,12,60,3,389
24,Werder Bremen,53,14,11,9,1819,58,49,9,64,3,405
25,RB Leipzig,53,15,8,11,1718,57,53,4,48,6,425
26,Schalke 04,52,15,7,12,1516,51,49,2,64,1,506
27,Stuttgart,51,15,6,13,1718,36,36,0,59,2,443
28,Hoffenheim,51,13,12,9,1819,70,52,18,69,2,451
29,Mainz,50,14,8,12,1516,46,42,4,53,1,528
30,Hertha,50,14,8,12,1516,42,42,0,66,3,481
31,Ein Frankfurt,49,14,7,13,1718,45,45,0,72,2,510
32,FC Koln,49,12,13,9,1617,51,42,9,72,1,476
33,Hertha,49,15,4,15,1617,43,47,-4,63,3,473
34,Augsburg,49,15,4,15,1415,43,43,0,61,3,552
35,Schalke 04,48,13,9,12,1415,42,40,2,65,4,517
36,Freiburg,48,14,6,14,1617,42,60,-18,56,1,445
37,M'gladbach,47,13,8,13,1718,47,52,-5,47,0,388
38,Dortmund,46,13,7,14,1415,47,42,5,54,0,454
39,M'gladbach,45,12,9,13,1617,45,49,-4,46,2,419
40,Wolfsburg,45,12,9,13,1516,47,49,-2,55,3,457
41,Werder Bremen,45,13,6,15,1617,61,64,-3,67,2,476
42,Hoffenheim,44,12,8,14,1415,49,55,-6,66,2,600
43,Fortuna Dusseldorf,44,13,5,16,1819,49,65,-16,67,1,412
44,Hertha,43,10,13,11,1718,43,46,-3,47,3,469
45,Schalke 04,43,11,10,13,1617,45,40,5,69,3,508
46,FC Koln,43,10,13,11,1516,38,42,-4,55,2,436
47,Hertha,43,11,10,13,1819,49,57,-8,67,5,418
48,Ein Frankfurt,43,11,10,13,1415,56,62,-6,84,3,569
49,Werder Bremen,43,11,10,13,1415,50,65,-15,67,2,588
50,Mainz,43,12,7,15,1819,46,57,-11,57,0,404
51,Werder Bremen,42,10,12,12,1718,37,40,-3,55,0,509
52,Ein Frankfurt,42,11,9,14,1617,36,43,-7,82,6,538
53,Leverkusen,41,11,8,15,1617,53,55,-2,50,4,478
54,Hamburg,41,11,8,15,1516,40,46,-6,73,3,576
55,Augsburg,41,10,11,13,1718,43,46,-3,68,2,463
56,FC Koln,40,9,13,12,1415,34,40,-6,48,2,421
57,Ingolstadt,40,10,10,14,1516,33,42,-9,79,2,526
58,Mainz,40,9,13,12,1415,45,47,-2,53,2,495
59,Hannover,39,10,9,15,1718,44,54,-10,63,0,475
60,Augsburg,38,9,11,14,1516,42,52,-10,81,2,532
61,Werder Bremen,38,10,8,16,1516,50,65,-15,77,2,520
62,Darmstadt,38,9,11,14,1516,38,53,-15,86,1,557
63,Augsburg,38,9,11,14,1617,35,51,-16,66,3,494
64,Hamburg,38,10,8,16,1617,33,61,-28,73,5,564
65,Hannover,37,9,10,15,1415,40,56,-16,72,5,568
66,Wolfsburg,37,10,7,17,1617,34,52,-18,65,3,513
67,Mainz,37,10,7,17,1617,44,55,-11,67,7,493
68,Hoffenheim,37,9,10,15,1516,39,54,-15,56,3,469
69,Freiburg,36,8,12,14,1819,46,61,-15,56,3,387
70,Stuttgart,36,9,9,16,1415,42,60,-18,59,5,504
71,Freiburg,36,8,12,14,1718,32,56,-24,54,5,432
72,Mainz,36,9,9,16,1718,38,52,-14,63,3,505
73,Ein Frankfurt,36,9,9,16,1516,34,52,-18,93,3,517
74,Hertha,35,9,8,17,1415,36,52,-16,72,4,589
75,Hamburg,35,9,8,17,1415,25,50,-25,83,5,618
76,Freiburg,34,7,13,14,1415,36,47,-11,63,4,492
77,Wolfsburg,33,6,15,13,1718,36,48,-12,62,6,428
78,Stuttgart,33,9,6,19,1516,50,75,-25,64,5,506
79,Schalke 04,33,8,9,17,1819,37,55,-18,73,5,422
80,Ingolstadt,32,8,8,18,1617,36,57,-21,69,6,554
81,Augsburg,32,8,8,18,1819,51,71,-20,55,1,439
82,Paderborn,31,7,10,17,1415,31,65,-34,51,3,484
83,Hamburg,31,8,7,19,1718,29,53,-24,60,4,473
84,Stuttgart,28,7,7,20,1819,32,70,-38,66,5,350
85,Hannover,25,7,4,23,1516,31,62,-31,66,0,520
86,Darmstadt,25,7,4,23,1617,28,63,-35,67,5,516
87,FC Koln,22,5,7,22,1718,35,70,-35,66,1,460
88,Hannover,21,5,6,23,1819,31,71,-40,64,4,396
89,Nurnberg,19,3,10,21,1819,26,68,-42,59,4,376
