,TeamName,points,TotalWins,TotalDraws,TotalLosses,season,GoalsScored,GoalsConceded,GoalDifference,YellowCard,RedCard,totalFouls
0,Barcelona,94,30,4,4,1415,110,21,89,66,3,369
1,Barcelona,93,28,9,1,1718,99,29,70,67,2,383
2,Real Madrid,93,29,6,3,1617,106,41,65,72,2,425
3,Real Madrid,92,30,2,6,1415,118,38,80,85,3,407
4,Barcelona,91,29,4,5,1516,112,29,83,66,1,382
5,Barcelona,90,28,6,4,1617,116,37,79,73,1,421
6,Real Madrid,90,28,6,4,1516,110,34,76,68,5,422
7,Ath Madrid,88,28,4,6,1516,63,18,45,88,3,505
8,Barcelona,87,26,9,3,1819,90,36,54,77,2,407
9,Ath Madrid,79,23,10,5,1718,58,22,36,96,5,538
10,Ath Madrid,78,23,9,6,1617,70,27,43,80,3,498
11,Ath Madrid,78,23,9,6,1415,67,29,38,109,5,543
12,Valencia,77,22,11,5,1415,70,32,38,101,9,566
13,Real Madrid,76,22,10,6,1718,94,44,50,65,4,436
14,Ath Madrid,76,22,10,6,1819,55,29,26,103,5,476
15,Sevilla,76,23,7,8,1415,71,45,26,115,2,604
16,Valencia,73,22,7,9,1718,65,38,27,106,5,519
17,Sevilla,72,21,9,8,1617,69,49,20,105,4,581
18,Real Madrid,68,21,5,12,1819,63,46,17,83,6,444
19,Villarreal,67,19,10,9,1617,56,33,23,89,4,507
20,Sociedad,64,19,7,12,1617,59,53,6,79,6,528
21,Villarreal,64,18,10,10,1516,44,35,9,96,4,519
22,Ath Bilbao,63,19,6,13,1617,53,43,10,87,2,499
23,Ath Bilbao,62,18,8,12,1516,58,45,13,83,6,501
24,Valencia,61,15,16,7,1819,51,35,16,90,3,463
25,Villarreal,61,18,7,13,1718,57,50,7,117,6,595
26,Villarreal,60,16,12,10,1415,48,37,11,94,2,526
27,Celta,60,17,9,12,1516,51,59,-8,109,7,529
28,Betis,60,18,6,14,1718,60,61,-1,92,3,466
29,Getafe,59,15,14,9,1819,48,35,13,112,7,641
30,Sevilla,59,17,8,13,1819,62,47,15,118,6,536
31,Sevilla,58,17,7,14,1718,49,58,-9,101,3,562
32,Espanol,56,15,11,12,1617,49,50,-1,80,2,567
33,Ath Bilbao,55,15,10,13,1415,42,41,1,96,4,529
34,Getafe,55,15,10,13,1718,42,33,9,132,5,674
35,Alaves,55,14,13,11,1617,41,43,-2,113,5,540
36,Eibar,54,15,9,14,1617,56,51,5,91,7,515
37,Ath Bilbao,53,13,14,11,1819,41,45,-4,120,5,581
38,Espanol,53,14,11,13,1819,48,50,-2,92,2,530
39,Sevilla,52,14,10,14,1516,51,50,1,95,8,557
40,Girona,51,14,9,15,1718,50,59,-9,104,0,615
41,Celta,51,13,12,13,1415,47,44,3,115,5,586
42,Eibar,51,14,9,15,1718,44,50,-6,84,3,493
43,Betis,50,14,8,16,1819,44,52,-8,89,1,436
44,Alaves,50,13,11,14,1819,39,50,-11,101,1,548
45,Sociedad,50,13,11,14,1819,45,46,-1,82,4,491
46,Malaga,50,14,8,16,1415,42,48,-6,101,8,558
47,Espanol,49,12,13,13,1718,36,42,-6,89,1,520
48,Celta,49,13,10,15,1718,59,60,-1,86,1,429
49,Sociedad,49,14,7,17,1718,66,59,7,60,5,420
50,Espanol,49,13,10,15,1415,47,51,-4,116,6,614
51,Vallecano,49,15,4,19,1415,46,68,-22,106,6,554
52,Malaga,48,12,12,14,1516,38,35,3,103,5,552
53,Sociedad,48,13,9,16,1516,45,48,-3,104,5,464
54,Eibar,47,11,14,13,1819,46,50,-4,83,2,515
55,Alaves,47,15,2,21,1718,40,50,-10,109,4,603
56,Malaga,46,12,10,16,1617,49,55,-6,108,7,547
57,Levante,46,11,13,14,1718,44,58,-14,110,7,553
58,Valencia,46,13,7,18,1617,56,65,-9,108,6,550
59,Sociedad,46,11,13,14,1415,44,51,-7,88,1,512
60,Celta,45,13,6,19,1617,53,69,-16,98,8,513
61,Leganes,45,11,12,15,1819,37,43,-6,106,4,541
62,Betis,45,11,12,15,1516,34,52,-18,104,5,491
63,Valencia,44,11,11,16,1516,46,48,-2,101,7,566
64,Las Palmas,44,12,8,18,1516,45,53,-8,95,4,466
65,Villarreal,44,10,14,14,1819,49,52,-3,118,3,519
66,Levante,44,11,11,16,1819,59,66,-7,112,7,501
67,Leganes,43,12,7,19,1718,34,51,-17,105,5,588
68,Eibar,43,11,10,17,1516,49,61,-12,103,4,593
69,Ath Bilbao,43,10,13,15,1718,41,49,-8,93,0,526
70,Espanol,43,12,7,19,1516,40,74,-34,120,5,653
71,La Coruna,42,8,18,12,1516,45,61,-16,80,4,401
72,Elche,41,11,8,19,1415,35,62,-27,102,6,584
73,Valladolid,41,10,11,17,1819,32,51,-19,92,0,521
74,Celta,41,10,11,17,1819,53,62,-9,84,6,458
75,Betis,39,10,9,19,1617,41,64,-23,102,5,574
76,Sp Gijon,39,10,9,19,1516,40,62,-22,98,6,524
77,Granada,39,10,9,19,1516,46,69,-23,133,7,585
78,Las Palmas,39,10,9,19,1617,53,74,-21,98,6,466
79,Vallecano,38,9,11,18,1516,52,73,-21,108,10,546
80,Getafe,37,10,7,21,1415,33,64,-31,93,4,541
81,Levante,37,9,10,19,1415,34,67,-33,107,3,557
82,Girona,37,9,10,19,1819,37,53,-16,83,4,536
83,Getafe,36,9,9,20,1516,37,67,-30,122,6,531
84,La Coruna,36,8,12,18,1617,43,61,-18,92,4,536
85,Leganes,35,8,11,19,1617,36,55,-19,105,3,644
86,Granada,35,7,14,17,1415,29,64,-35,111,5,572
87,La Coruna,35,7,14,17,1415,35,60,-25,103,4,562
88,Eibar,35,9,8,21,1415,34,55,-21,103,5,569
89,Huesca,33,7,12,19,1819,43,65,-22,114,3,580
90,Vallecano,32,8,8,22,1819,41,70,-29,106,8,567
91,Levante,32,8,8,22,1516,37,70,-33,126,7,548
92,Almeria,32,8,8,22,1415,35,64,-29,105,11,562
93,Sp Gijon,31,7,10,21,1617,42,72,-30,112,4,567
94,La Coruna,29,6,11,21,1718,38,76,-38,101,2,506
95,Las Palmas,22,5,7,26,1718,24,74,-50,89,3,482
96,Osasuna,22,4,10,24,1617,40,94,-54,98,3,567
97,Malaga,20,5,5,28,1718,24,61,-37,100,8,613
98,Granada,20,4,8,26,1617,30,82,-52,109,6,553
99,Cordoba,20,3,11,24,1415,22,68,-46,93,9,494
