,TeamName,points,TotalWins,TotalDraws,TotalLosses,season,GoalsScored,GoalsConceded,GoalDifference,YellowCard,RedCard,totalFouls
0,Paris SG,96,30,6,2,1516,102,19,83,45.0,1.0,395.0
1,Monaco,95,30,5,3,1617,107,31,76,51.0,3.0,467.0
2,Paris SG,93,29,6,3,1718,108,29,79,67.0,6.0,425.0
3,Paris SG,91,29,4,5,1819,105,35,70,64.0,4.0,470.0
4,Paris SG,87,27,6,5,1617,83,27,56,50.0,3.0,403.0
5,Paris SG,83,24,11,3,1415,83,36,47,63.0,3.0,440.0
6,Monaco,80,24,8,6,1718,85,45,40,71.0,4.0,508.0
7,Lyon,78,23,9,6,1718,87,43,44,71.0,2.0,473.0
8,Nice,78,22,12,4,1617,63,36,27,57.0,4.0,426.0
9,Marseille,77,22,11,5,1718,80,47,33,81.0,3.0,508.0
10,Lyon,75,22,9,7,1415,72,33,39,64.0,1.0,581.0
11,Lille,75,22,9,7,1819,68,33,35,69.0,4.0,478.0
12,Lyon,72,21,9,8,1819,70,47,23,57.0,3.0,442.0
13,Monaco,71,20,11,7,1415,51,26,25,58.0,5.0,506.0
14,St Etienne,69,19,12,7,1415,51,30,21,66.0,2.0,557.0
15,Marseille,69,21,6,11,1415,76,42,34,65.0,6.0,552.0
16,Lyon,67,21,4,13,1617,80,48,32,,,
17,St Etienne,66,19,9,10,1819,59,41,18,67.0,7.0,455.0
18,Lyon,65,19,8,11,1516,67,43,24,65.0,3.0,511.0
19,Monaco,65,17,14,7,1516,57,50,7,84.0,4.0,545.0
20,Nice,63,18,9,11,1516,58,41,17,66.0,6.0,451.0
21,Bordeaux,63,17,12,9,1415,47,44,3,61.0,5.0,503.0
22,Marseille,62,17,11,10,1617,57,41,16,68.0,1.0,499.0
23,Marseille,61,18,7,13,1819,60,52,8,83.0,8.0,497.0
24,Lille,60,15,15,8,1516,39,27,12,83.0,6.0,575.0
25,Bordeaux,59,15,14,9,1617,53,43,10,64.0,5.0,442.0
26,Montpellier,59,15,14,9,1819,53,42,11,61.0,4.0,537.0
27,St Etienne,58,17,7,14,1516,42,37,5,71.0,5.0,588.0
28,Rennes,58,16,10,12,1718,50,44,6,66.0,5.0,486.0
29,Nice,56,15,11,12,1819,30,35,-5,73.0,5.0,424.0
30,Lille,56,16,8,14,1415,43,42,1,63.0,4.0,462.0
31,Montpellier,56,16,8,14,1415,46,39,7,51.0,1.0,518.0
32,Bordeaux,55,16,7,15,1718,53,48,5,74.0,3.0,531.0
33,Reims,55,13,16,9,1819,39,42,-3,67.0,2.0,530.0
34,St Etienne,55,15,10,13,1718,47,50,-3,72.0,8.0,510.0
35,Caen,54,16,6,16,1516,39,52,-13,52.0,6.0,463.0
36,Nice,54,15,9,14,1718,53,52,1,85.0,4.0,443.0
37,Nimes,53,15,8,15,1819,57,58,-1,70.0,5.0,487.0
38,Rennes,52,13,13,12,1516,52,54,-2,67.0,3.0,463.0
39,Rennes,52,13,13,12,1819,55,52,3,70.0,3.0,487.0
40,Nantes,52,14,10,14,1718,36,41,-5,68.0,6.0,490.0
41,Nantes,51,14,9,15,1617,40,54,-14,76.0,3.0,530.0
42,Montpellier,51,11,18,9,1718,36,33,3,72.0,2.0,444.0
43,Angers,50,13,11,14,1516,40,38,2,70.0,6.0,521.0
44,Rennes,50,13,11,14,1415,35,42,-7,55.0,1.0,482.0
45,Rennes,50,12,14,12,1617,36,42,-6,56.0,4.0,462.0
46,St Etienne,50,12,14,12,1617,41,42,-1,52.0,7.0,483.0
47,Bordeaux,50,12,14,12,1516,50,57,-7,80.0,7.0,491.0
48,Guingamp,50,14,8,16,1617,46,53,-7,57.0,4.0,495.0
49,Bastia,50,14,8,16,1516,36,42,-6,82.0,10.0,530.0
50,Guingamp,49,15,4,19,1415,41,55,-14,58.0,7.0,476.0
51,Strasbourg,49,11,16,11,1819,58,48,10,69.0,4.0,512.0
52,Montpellier,49,14,7,17,1516,49,47,2,64.0,2.0,476.0
53,Nice,48,13,9,16,1415,44,53,-9,84.0,6.0,546.0
54,Dijon,48,13,9,16,1718,55,73,-18,70.0,5.0,490.0
55,Marseille,48,10,18,10,1516,48,42,6,71.0,9.0,511.0
56,Nantes,48,13,9,16,1819,48,48,0,72.0,5.0,492.0
57,Nantes,48,12,12,14,1516,33,44,-11,79.0,5.0,598.0
58,Bastia,47,12,11,15,1415,37,46,-9,76.0,5.0,567.0
59,Guingamp,47,12,11,15,1718,48,59,-11,67.0,2.0,498.0
60,Lorient,46,11,13,14,1516,47,58,-11,63.0,7.0,463.0
61,Lille,46,13,7,18,1617,40,47,-7,59.0,6.0,537.0
62,Caen,46,12,10,16,1415,54,55,-1,43.0,6.0,447.0
63,Angers,46,13,7,18,1617,40,49,-9,58.0,5.0,435.0
64,Angers,46,10,16,12,1819,44,49,-5,49.0,4.0,446.0
65,Amiens,45,12,9,17,1718,37,42,-5,74.0,4.0,503.0
66,Nantes,45,11,12,15,1415,29,40,-11,70.0,3.0,567.0
67,Toulouse,44,10,14,14,1617,37,41,-4,87.0,4.0,564.0
68,Guingamp,44,11,11,16,1516,47,56,-9,75.0,6.0,508.0
69,Reims,44,12,8,18,1415,47,66,-19,76.0,4.0,544.0
70,Metz,43,11,10,17,1617,39,72,-33,71.0,7.0,514.0
71,Lorient,43,12,7,19,1415,44,50,-6,54.0,2.0,456.0
72,Toulouse,42,12,6,20,1415,43,64,-21,61.0,5.0,578.0
73,Angers,41,9,14,15,1718,42,52,-10,71.0,3.0,491.0
74,Bordeaux,41,10,11,17,1819,34,42,-8,74.0,5.0,537.0
75,Toulouse,40,9,13,16,1516,45,55,-10,71.0,10.0,533.0
76,Reims,39,10,9,19,1516,44,57,-13,80.0,6.0,518.0
77,Montpellier,39,10,9,19,1617,48,66,-18,45.0,5.0,400.0
78,Toulouse,38,8,14,16,1819,35,57,-22,78.0,5.0,560.0
79,Amiens,38,9,11,18,1819,31,52,-21,62.0,6.0,518.0
80,Caen,38,10,8,20,1718,27,52,-25,68.0,4.0,522.0
81,Strasbourg,38,9,11,18,1718,44,67,-23,71.0,4.0,520.0
82,Lille,38,10,8,20,1718,41,67,-26,60.0,6.0,479.0
83,Dijon,37,8,13,17,1617,46,58,-12,68.0,6.0,494.0
84,Caen,37,10,7,21,1617,36,65,-29,59.0,2.0,438.0
85,Evian Thonon Gaillard,37,11,4,23,1415,41,62,-21,66.0,4.0,533.0
86,Ajaccio GFCO,37,8,13,17,1516,37,58,-21,89.0,6.0,577.0
87,Toulouse,37,9,10,19,1718,38,54,-16,93.0,3.0,587.0
88,Monaco,36,8,12,18,1819,38,57,-19,92.0,7.0,526.0
89,Lorient,36,10,6,22,1617,44,70,-26,67.0,5.0,445.0
90,Nancy,35,9,8,21,1617,29,52,-23,76.0,5.0,497.0
91,Bastia,34,8,10,20,1617,29,57,-28,,,
92,Dijon,34,9,7,22,1819,31,60,-29,79.0,7.0,571.0
93,Caen,33,7,12,19,1819,29,54,-25,82.0,6.0,561.0
94,Troyes,33,9,6,23,1718,32,59,-27,76.0,7.0,496.0
95,Metz,30,7,9,22,1415,31,61,-30,71.0,3.0,595.0
96,Lens,29,7,8,23,1415,32,61,-29,70.0,5.0,552.0
97,Guingamp,27,5,12,21,1819,28,68,-40,58.0,5.0,485.0
98,Metz,26,6,8,24,1718,34,76,-42,80.0,7.0,531.0
99,Troyes,18,3,9,26,1516,28,83,-55,71.0,9.0,434.0
