,TeamName,points,TotalWins,TotalDraws,TotalLosses,season,GoalsScored,GoalsConceded,GoalDifference,YellowCard,RedCard,totalFouls
0,Man City,98,32,2,4,18/19,95,23,72,44,1,328
1,Liverpool,97,30,7,1,18/19,89,22,67,37,2,315
2,Chelsea,72,21,9,8,18/19,63,39,24,49,0,339
3,Tottenham,71,23,2,13,18/19,67,39,28,56,3,375
4,Arsenal,70,21,7,10,18/19,73,51,22,72,2,412
5,Man United,66,19,9,10,18/19,65,54,11,73,4,433
6,Wolves,57,16,9,13,18/19,47,46,1,72,1,409
7,Everton,54,15,9,14,18/19,54,46,8,55,4,432
8,Leicester,52,15,7,16,18/19,51,48,3,57,5,351
9,West Ham,52,15,7,16,18/19,52,55,-3,59,1,331
10,Watford,50,14,8,16,18/19,52,59,-7,77,4,433
11,Crystal Palace,49,14,7,17,18/19,51,53,-2,58,2,386
12,Newcastle,45,12,9,17,18/19,42,48,-6,57,2,422
13,Bournemouth,45,13,6,19,18/19,56,70,-14,60,1,339
14,Burnley,40,11,7,20,18/19,45,68,-23,75,1,359
15,Southampton,39,9,12,17,18/19,45,65,-20,71,3,420
16,Brighton,36,9,9,20,18/19,35,60,-25,60,4,463
17,Cardiff,34,10,4,24,18/19,34,69,-35,65,1,384
18,Fulham,26,7,5,26,18/19,34,81,-47,68,2,423
19,Huddersfield,16,3,7,28,18/19,22,76,-54,55,4,420
