,TeamName,points,TotalWins,TotalDraws,TotalLosses,season,GoalsScored,GoalsConceded,GoalDifference,YellowCard,RedCard,totalFouls
0,Juventus,95,30,5,3,1718,86,24,62,66.0,1,425
1,Napoli,91,28,7,3,1718,77,29,48,58.0,3,349
2,Juventus,91,29,4,5,1516,75,20,55,90.0,6,571
3,Juventus,91,29,4,5,1617,77,27,50,70.0,0,473
4,Juventus,90,28,6,4,1819,70,30,40,76.0,4,455
5,Juventus,87,26,9,3,1415,72,24,48,72.0,5,524
6,Roma,87,28,3,7,1617,90,38,52,64.0,1,462
7,Napoli,86,26,8,4,1617,94,39,55,58.0,2,376
8,Napoli,82,25,7,6,1516,80,32,48,68.0,2,441
9,Roma,80,23,11,4,1516,83,41,42,79.0,5,532
10,Napoli,79,24,7,7,1819,74,36,38,75.0,5,400
11,Roma,77,23,8,7,1718,61,28,33,48.0,4,396
12,Lazio,72,21,9,8,1718,89,49,40,77.0,6,435
13,Inter,72,20,12,6,1718,66,30,36,69.0,1,453
14,Atalanta,72,21,9,8,1617,62,41,21,85.0,3,603
15,Roma,70,19,13,6,1415,54,31,23,,5,519
16,Lazio,70,21,7,10,1617,74,51,23,90.0,4,543
17,Lazio,69,21,6,11,1415,71,38,33,104.0,9,678
18,Atalanta,69,20,9,9,1819,77,46,31,61.0,3,429
19,Inter,69,20,9,9,1819,57,33,24,75.0,3,457
20,Milan,68,19,11,8,1819,55,36,19,83.0,5,444
21,Inter,67,20,7,11,1516,50,38,12,90.0,12,504
22,Roma,66,18,12,8,1819,66,48,18,90.0,2,453
23,Fiorentina,64,18,10,10,1516,60,42,18,93.0,3,536
24,Milan,64,18,10,10,1718,56,42,14,75.0,7,498
25,Fiorentina,64,18,10,10,1415,61,46,15,81.0,3,537
26,Torino,63,16,15,7,1819,52,37,15,90.0,4,602
27,Napoli,63,18,9,11,1415,70,54,16,77.0,6,524
28,Milan,63,18,9,11,1617,57,45,12,81.0,12,521
29,Inter,62,19,5,14,1617,72,49,23,74.0,5,540
30,Sassuolo,61,16,13,9,1516,49,40,9,90.0,7,571
31,Fiorentina,60,16,12,10,1617,63,57,6,92.0,6,535
32,Atalanta,60,16,12,10,1718,57,39,18,67.0,4,491
33,Lazio,59,17,8,13,1819,56,46,10,90.0,4,495
34,Genoa,59,16,11,11,1415,62,47,15,102.0,6,634
35,Fiorentina,57,16,9,13,1718,54,46,8,88.0,6,547
36,Milan,57,15,12,11,1516,49,43,6,92.0,3,585
37,Sampdoria,56,13,17,8,1415,48,42,6,96.0,3,614
38,Inter,55,14,13,11,1415,59,48,11,93.0,5,560
39,Torino,54,14,12,12,1415,48,45,3,96.0,3,543
40,Sampdoria,54,16,6,16,1718,56,60,-4,69.0,2,424
41,Lazio,54,15,9,14,1516,52,52,0,94.0,10,594
42,Torino,54,13,15,10,1718,54,46,8,78.0,4,565
43,Torino,53,13,14,11,1617,71,66,5,80.0,4,587
44,Sampdoria,53,15,8,15,1819,60,51,9,92.0,3,476
45,Milan,52,13,13,12,1415,56,50,6,82.0,13,541
46,Chievo,50,13,11,14,1516,43,45,-2,104.0,4,632
47,Sassuolo,49,12,13,13,1415,49,57,-8,101.0,9,587
48,Palermo,49,12,13,13,1415,53,55,-2,83.0,4,582
49,Sampdoria,48,12,12,14,1617,49,55,-6,73.0,4,511
50,Cagliari,47,14,5,19,1617,55,76,-21,97.0,7,557
51,Genoa,46,13,7,18,1516,45,48,-3,82.0,9,632
52,Verona,46,11,13,14,1415,49,65,-16,96.0,7,523
53,Empoli,46,12,10,16,1516,40,49,-9,92.0,6,507
54,Sassuolo,46,13,7,18,1617,58,63,-5,90.0,2,518
55,Udinese,45,12,9,17,1617,47,56,-9,84.0,2,484
56,Torino,45,12,9,17,1516,52,55,-3,95.0,3,656
57,Atalanta,45,11,12,15,1516,41,47,-6,95.0,14,636
58,Bologna,44,11,11,16,1819,48,56,-8,92.0,6,506
59,Sassuolo,43,9,16,13,1819,53,60,-7,87.0,8,510
60,Udinese,43,11,10,17,1819,39,53,-14,92.0,4,492
61,Sassuolo,43,11,10,17,1718,29,59,-30,89.0,7,483
62,Chievo,43,10,13,15,1415,28,41,-13,82.0,3,626
63,Chievo,43,12,7,19,1617,43,61,-18,82.0,4,555
64,Bologna,42,11,9,18,1516,33,45,-12,88.0,7,535
65,Spal,42,11,9,18,1819,44,56,-12,113.0,3,484
66,Empoli,42,8,18,12,1415,46,52,-6,58.0,4,489
67,Parma,41,10,11,17,1819,41,61,-20,84.0,3,487
68,Cagliari,41,10,11,17,1819,36,54,-18,95.0,9,569
69,Fiorentina,41,8,17,13,1819,47,45,2,91.0,5,542
70,Udinese,41,10,11,17,1415,43,56,-13,91.0,6,532
71,Bologna,41,11,8,19,1617,40,58,-18,84.0,11,486
72,Genoa,41,11,8,19,1718,33,43,-10,76.0,5,560
73,Chievo,40,10,10,18,1718,36,59,-23,75.0,4,479
74,Udinese,40,12,4,22,1718,48,63,-15,72.0,4,529
75,Sampdoria,40,10,10,18,1516,48,61,-13,102.0,7,551
76,Cagliari,39,11,6,21,1718,33,61,-28,96.0,6,607
77,Udinese,39,10,9,19,1516,35,60,-25,98.0,7,575
78,Bologna,39,11,6,21,1718,40,52,-12,102.0,6,480
79,Palermo,39,10,9,19,1516,38,65,-27,96.0,6,621
80,Carpi,38,9,11,18,1516,37,57,-20,105.0,6,634
81,Spal,38,8,14,16,1718,39,59,-20,102.0,4,476
82,Empoli,38,10,8,20,1819,51,70,-19,74.0,3,444
83,Genoa,38,8,14,16,1819,39,57,-18,96.0,7,545
84,Atalanta,37,7,16,15,1415,38,57,-19,103.0,9,629
85,Genoa,36,9,9,20,1617,38,64,-26,89.0,8,623
86,Crotone,35,9,8,21,1718,40,66,-26,66.0,2,504
87,Crotone,34,9,7,22,1617,34,58,-24,87.0,4,585
88,Cagliari,34,8,10,20,1415,48,68,-20,108.0,6,594
89,Empoli,32,8,8,22,1617,29,61,-32,107.0,2,538
90,Frosinone,31,8,7,23,1516,35,76,-41,108.0,5,625
91,Verona,28,5,13,20,1516,34,63,-29,88.0,7,612
92,Parma,26,6,8,24,1415,33,75,-42,98.0,8,659
93,Palermo,26,6,8,24,1617,33,77,-44,93.0,9,564
94,Frosinone,25,5,10,23,1819,29,69,-40,102.0,2,553
95,Verona,25,7,4,27,1718,30,78,-48,96.0,6,519
96,Cesena,24,4,12,22,1415,36,73,-37,102.0,4,631
97,Benevento,21,6,3,29,1718,33,84,-51,78.0,7,490
98,Chievo,20,2,14,22,1819,25,75,-50,109.0,7,574
99,Pescara,18,3,9,26,1617,37,81,-44,92.0,4,551
